Orthogroup	1	2	3	4	5	6	7	8	9	10
OG0000064	GO:0003700; GO:0005634; GO:0043565 (275)	GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:0009653; GO:0030154 (42)	GO:0003700; GO:0005634; GO:0019904; GO:0043565 (39)	GO:0003700; GO:0005634; GO:0006357; GO:0043565; GO:0045893 (26)	GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:0045893 (16)	GO:0003700; GO:0005634; GO:0006357; GO:1990837 (13)	GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:0030030 (8)	GO:0003700; GO:0005634; GO:0030030; GO:0043565 (8)	GO:0003700; GO:0005634; GO:0016020; GO:0043565 (8)	GO:0003700; GO:0004518; GO:0005634; GO:0043565 (1)
OG0000065	None									
OG0000066	None									
OG0000067	GO:0005509; GO:0005886; GO:0007156 (229)	GO:0001736; GO:0004022; GO:0004714; GO:0005509; GO:0005886; GO:0007156; GO:0007163; GO:0016043; GO:0098609 (63)	GO:0001736; GO:0005509; GO:0005886; GO:0007156; GO:0007163; GO:0016043; GO:0048513 (53)	GO:0004022; GO:0005509; GO:0005886; GO:0005911; GO:0007156; GO:0098609 (15)	GO:0001736; GO:0004022; GO:0004714; GO:0005509; GO:0005886; GO:0007156; GO:0007163; GO:0008353; GO:0016043; GO:0048513; GO:0098609 (14)	GO:0004022; GO:0005509; GO:0005886; GO:0007156; GO:0098609 (13)	GO:0005509; GO:0007156; GO:0016020 (13)	GO:0001736; GO:0005509; GO:0005886; GO:0007156; GO:0007163; GO:0016043 (12)	GO:0004022; GO:0005509; GO:0005886; GO:0007156 (9)	
OG0000068	GO:0015276; GO:0016020 (244)	GO:0004970; GO:0005886 (109)	GO:0016020 (68)							
OG0000069	GO:0005524; GO:0140662 (95)	GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0005886; GO:0016887; GO:0031072; GO:0032440; GO:0042026; GO:0044183; GO:0051085; GO:0140662 (94)	GO:0005524; GO:0005737; GO:0016887; GO:0031072; GO:0032440; GO:0042026; GO:0044183; GO:0051085; GO:0140662 (74)	GO:0005524; GO:0005737; GO:0016887; GO:0031072; GO:0042026; GO:0044183; GO:0051085; GO:0140662 (61)	GO:0005524; GO:0005737; GO:0005739; GO:0016887; GO:0031072; GO:0032440; GO:0042026; GO:0044183; GO:0051082; GO:0051085; GO:0140662 (33)	GO:0005524; GO:0005634; GO:0005737; GO:0005788; GO:0016020; GO:0016887; GO:0030433; GO:0030968; GO:0031072; GO:0032440; GO:0034663; GO:0042026; GO:0044183; GO:0051085; GO:0140662 (25)	GO:0005524; GO:0005788; GO:0140662 (19)	GO:0005524; GO:0051082; GO:0140662 (13)	GO:0000774; GO:0005524; GO:0042803; GO:0051082; GO:0051087; GO:0140662 (2)	GO:0003700; GO:0005524; GO:0005634; GO:0005788; GO:0043565; GO:0140662 (1)
OG0000070	GO:0004364 (395)	GO:0004364; GO:0042802 (18)								
OG0000071	GO:0003676; GO:0008168; GO:0032259 (409)	GO:0003676 (3)								
OG0000072	None									
OG0000073	GO:0004745; GO:0008202; GO:0016020; GO:0016491; GO:0043231 (175)	GO:0016491 (130)	GO:0016020; GO:0016491 (63)	GO:0016020 (39)						
OG0000074	GO:0000146; GO:0005524; GO:0005737; GO:0005886; GO:0005902; GO:0007015; GO:0015629; GO:0016459; GO:0030050; GO:0031982; GO:0051015 (86)	GO:0003774; GO:0003779; GO:0005524; GO:0005737; GO:0016459 (68)	GO:0003774; GO:0005524; GO:0005737; GO:0016459; GO:0051015 (55)	GO:0003774; GO:0003779; GO:0005524; GO:0016459 (48)	GO:0005856 (35)	GO:0000146; GO:0005524; GO:0005737; GO:0005902; GO:0007015; GO:0007423; GO:0007605; GO:0015629; GO:0016459; GO:0030050; GO:0031982; GO:0051015 (32)	GO:0003774; GO:0005524; GO:0016459; GO:0051015 (15)	GO:0000146; GO:0004698; GO:0005096; GO:0005524; GO:0005737; GO:0005884; GO:0016459; GO:0035556; GO:0046872; GO:0051015 (14)	GO:0003774; GO:0005524; GO:0016459 (12)	GO:0000146; GO:0003779; GO:0005096; GO:0005524; GO:0005737; GO:0016459; GO:0035556; GO:0046872 (12)
